bea_code,panel_year,den_m_2024,num_m_2024
4450,2021,4803.541923623751,0
4450,2022,5974.592683762814,0
4450,2023,6893.112391503985,0
4450,2024,6340,0
4520,2015,8287.07186933964,0
4520,2016,8758.928185280747,0
4520,2017,10659.99972,0
4520,2018,10621.509913614169,0
4520,2019,9445.150036575751,0
4520,2020,6857.682776176393,0
4520,2021,9302.135782009835,0
4520,2022,13370.957950331847,0
4520,2023,14908.475353260066,0
4520,2024,12691,0
442R,2015,20120.82303339167,0
442R,2016,26614.674243355043,0
442R,2017,22433.9519,0
442R,2018,21704.998260422635,0
442R,2019,22289.069683928523,0
442R,2020,25621.76515179875,0
442R,2021,27783.208327673485,0
442R,2022,27759.716199794348,0
442R,2023,34394.73547708624,0
442R,2024,32774,0
4810,2015,1046.22214717711,0
4810,2016,2712.7714911741823,0
4810,2017,4484.09642,0
4810,2018,5285.459307727281,0
4810,2019,5045.688469613628,0
4810,2020,4772.644667390409,0
4810,2021,4919.422188414065,0
4810,2022,4750.0844888293395,0
4810,2023,4730.41084812039,0
4810,2024,5037,0
4820,2015,15428.675221809477,8441.455111083824
4820,2016,12866.011815538355,0
4820,2017,13116.89124,0
4820,2018,12663.800739320377,0
4820,2019,11602.652131368694,3199.14308243319
4820,2020,11412.243046456782,18909.051772545205
4820,2021,10284.068552075127,0
4820,2022,9754.094413111894,0
4820,2023,11347.200210326748,0
4820,2024,11310,0
4830,2015,401.1207441746232,0
4830,2016,209.62952041610356,0
4830,2017,396.01212000000004,0
4830,2018,725.5857236048787,0
4830,2019,792.1078272104579,0
4830,2020,679.4652603601243,0
4830,2021,737.9743178751573,0
4830,2022,333.67061352943006,0
4830,2023,291.2863702343218,0
4830,2024,309,0
4840,2015,1033.8163509655237,0
4840,2016,2108.7074783961993,0
4840,2017,1081.6249400000002,0
4840,2018,1827.9434835036668,0
4840,2019,2344.332050807042,0
4840,2020,1618.6148317298694,0
4840,2021,1782.1164932489337,0
4840,2022,2245.456330040819,0
4840,2023,2363.210311935303,0
4840,2024,1827,0
4850,2015,150.2479763403228,0
4850,2016,1110.208973256338,0
4850,2017,119.88122,0
4850,2018,123.81554549587838,0
4850,2019,134.364009462194,0
4850,2020,170.18146595290682,0
4850,2021,352.51996341474455,0
4850,2022,538.279952014458,0
4850,2023,617.4872026542644,0
4850,2024,591,0
4860,2015,21023.689313234892,10200.321329526501
4860,2016,15982.871790146211,7746.837796588055
4860,2017,18805.18778,22274.996612024108
4860,2018,17745.563504457667,931.9449660980093
4860,2019,24967.39227254159,21023.962894940774
4860,2020,13557.790120914911,0
4860,2021,9686.370344209297,703.0167014613778
4860,2022,9244.14498488767,1668.5326979866288
4860,2023,10582.07471043043,394.03464466629146
4860,2024,9337,1100
487S,2015,2326.776000573072,675.426682630809
487S,2016,2079.745505180817,34.47853954212229
487S,2017,3292.0191200000004,383.8893
487S,2018,6019.033131041571,0
487S,2019,5625.373196150522,16611.784885309502
487S,2020,9499.90761052671,558.658861328959
487S,2021,10851.27195341719,0
487S,2022,7097.3208487832235,0
487S,2023,7824.829753828836,0
487S,2024,6721,849.2679304711303
4930,2015,1906.357351180426,0
4930,2016,2283.858459270181,0
4930,2017,2657.5915400000004,0
4930,2018,3115.358886670488,0
4930,2019,3946.4629064895835,0
4930,2020,4478.924063190208,0
4930,2021,4080.205112880002,0
4930,2022,4995.615695011373,0
4930,2023,7204.349882987233,0
4930,2024,7191,0
5110,2015,3510.8403278789187,0
5110,2016,3436.82082155875,0
5110,2017,3937.22254,0
5110,2018,2711.959851345207,0
5110,2019,3401.3289252429677,0
5110,2020,3875.0950099202637,0
5110,2021,4253.415613934998,0
5110,2022,1931.7220110304427,0
5110,2023,2054.9654886393937,0
5110,2024,2078,0
5120,2015,1808.489403289023,0
5120,2016,1384.6581480116313,0
5120,2017,1441.2686,0
5120,2018,1063.7486113032992,0
5120,2019,1071.073103998632,0
5120,2020,360.5325871298619,0
5120,2021,490.35648890217067,0
5120,2022,605.4337861839031,0
5120,2023,663.3747815267945,0
5120,2024,646,0
5130,2015,25320.23006784761,0
5130,2016,26014.747655322113,0
5130,2017,27547.08798,0
5130,2018,24761.777749224108,0
5130,2019,18680.436286943885,0
5130,2020,19380.51746340733,0
5130,2021,16474.514276399794,0
5130,2022,15198.80137413143,0
5130,2023,16500.574828924375,0
5130,2024,16704,0
5140,2015,14454.13100829931,0
5140,2016,16563.49039603555,0
5140,2017,13165.382520000001,0
5140,2018,23493.001245379244,0
5140,2019,29890.23364778978,0
5140,2020,33063.10732602104,0
5140,2021,35606.9558894111,0
5140,2022,34972.4577010563,0
5140,2023,36744.977560209736,0
5140,2024,36924,0
5210,2015,119.92269671200076,0
5210,2016,118.60617602490069,0
5210,2017,129.31008,0
5210,2018,131.80364520528988,0
5210,2019,129.24538053030088,0
5210,2020,182.78750046793698,0
5210,2021,211.0240611444665,0
5210,2022,181.52520798928114,0
5210,2023,184.5478715525669,0
5210,2024,184,0
5221,2015,7555.129892856047,0
5221,2016,10671.797559077693,0
5221,2017,11757.78842,0
5221,2018,13971.186391760728,0
5221,2019,19374.0105072154,0
5221,2020,16231.530041552802,0
5221,2021,11235.506515616651,0
5221,2022,12856.811407472034,0
5221,2023,13120.854889356284,0
5221,2024,13081,0
5223,2015,392.850213366899,0
5223,2016,968.157390342794,0
5223,2017,572.4665,0
5223,2018,515.2324312570423,0
5223,2019,725.5656510958476,0
5223,2020,482.8111219256542,0
5223,2021,714.7982649170946,0
5223,2022,644.2570965631135,0
5223,2023,657.3894451521167,0
5223,2024,655,0
5229,2015,1087.574801215731,0
5229,2016,1015.0482041200803,0
5229,2017,588.63026,0
5229,2018,756.2067724909562,0
5229,2019,1801.7573840263726,0
5229,2020,1676.602590499008,0
5229,2021,1461.3111286189067,0
5229,2022,1084.9541333000966,0
5229,2023,1104.2945611280625,0
5229,2024,1101,0
5230,2015,3812.714702360852,0
5230,2016,5293.145390506615,0
5230,2017,4971.70318,0
5230,2018,7318.43068377251,0
5230,2019,8473.890196749035,0
5230,2020,6920.712948751545,0
5230,2021,4501.033442907984,0
5230,2022,5967.247733150531,0
5230,2023,6473.14128921409,0
5230,2024,6314,0
524A,2015,7221.551816944505,0
524A,2016,5305.557664741778,0
524A,2017,5304.4072400000005,0
524A,2018,4925.994820803763,0
524A,2019,4323.9617902167,0
524A,2020,6286.629412645529,0
524A,2021,5396.360962445779,0
524A,2022,2775.3420527840963,0
524A,2023,2821.088544598158,0
524A,2024,2816,0
5243,2015,634.0740285921879,0
5243,2016,459.254146701069,0
5243,2017,529.36314,0
5243,2018,400.736335422144,0
5243,2019,670.5403900779967,0
5243,2020,1455.9969864859806,0
5243,2021,403.7512383746729,0
5243,2022,783.8111581964914,0
5243,2023,799.0424060194923,0
5243,2024,795,0
5250,2015,9.648952609011555,0
5250,2016,53.78652168571078,0
5250,2017,227.63962,0
5250,2018,74.55559728784074,0
5250,2019,108.77086480272847,0
5250,2020,211.7813798525063,0
5250,2021,1156.3630633812384,0
5250,2022,6175.004907612251,0
5250,2023,6269.639852475043,0
5250,2024,6253,0
5310,2015,50865.142889305054,0
5310,2016,58729.36511446943,0
5310,2017,71660.68298,0
5310,2018,65776.6757071975,0
5310,2019,55043.176219112494,0
5310,2020,69132.75388387677,0
5310,2021,66207.88433988065,0
5310,2022,69581.86498613405,0
5310,2023,86307.55296679208,0
5310,2024,84041,0
5320,2015,1931.1689436035983,0
5320,2016,1823.225170987427,0
5320,2017,2219.82304,0
5320,2018,2006.3443770138572,0
5320,2019,3228.5751987915755,0
5320,2020,1302.203365402613,0
5320,2021,1483.2673893160188,0
5320,2022,1918.0813884647741,0
5320,2023,2508.8534970524634,0
5320,2024,2480,0
5411,2015,951.1110428882819,0
5411,2016,1252.2605561698817,0
5411,2017,1262.1202600000001,0
5411,2018,1385.9352995828967,0
5411,2019,1704.5034343204036,0
5411,2020,1323.6336240781643,0
5411,2021,812.3816457931484,0
5411,2022,576.0539837347708,0
5411,2023,586.5629647184288,0
5411,2024,585,0
5415,2015,1104.1158628311794,0
5415,2016,2257.654769218168,0
5415,2017,1527.47532,0
5415,2018,2067.586474786012,0
5415,2019,1758.2490381052812,0
5415,2020,2208.57724703328,0
5415,2021,1680.8737355900278,0
5415,2022,1379.8014364503163,0
5415,2023,1447.4538466095923,0
5415,2024,1455,0
5412,2015,13518.182605225189,0
5412,2016,13922.434267108982,0
5412,2017,14741.34912,0
5412,2018,15957.560519501056,0
5412,2019,17783.396566629617,0
5412,2020,13173.306068206492,0
5412,2021,12727.312450759326,0
5412,2022,16745.43811734646,0
5412,2023,27722.082975382888,0
5412,2024,30713,0
5500,2015,4376.489219087384,0
5500,2016,6841.921386738748,0
5500,2017,6134.14692,0
5500,2018,6097.582778184118,0
5500,2019,6125.719174243072,0
5500,2020,5360.085875790814,0
5500,2021,5981.8612477021015,0
5500,2022,5196.027918860811,0
5500,2023,6501.072858962586,0
5500,2024,6848,0
5610,2015,4694.904655184765,0
5610,2016,6566.09307040177,0
5610,2017,4218.74136,0
5610,2018,6225.3923735347025,0
5610,2019,5904.338472938695,0
5610,2020,4085.615786321267,0
5610,2021,3201.9546849955173,0
5610,2022,3855.049792789705,0
5610,2023,4500.97295375774,0
5610,2024,4616,0
5620,2015,1734.0546260195051,0
5620,2016,2196.9725396240324,0
5620,2017,1461.4733,0
5620,2018,1712.1160377172,0
5620,2019,2460.7808590076097,0
5620,2020,2492.213023621458,0
5620,2021,1974.84367047914,0
5620,2022,3226.5318761100552,0
5620,2023,4955.858518233256,0
5620,2024,5264,0
6100,2015,22997.5893326784,0
6100,2016,25736.161055821765,0
6100,2017,28516.91358,0
6100,2018,30040.580307193544,0
6100,2019,25712.152782132034,0
6100,2020,23485.042301501144,0
6100,2021,19478.862615121303,0
6100,2022,19913.21038855825,0
6100,2023,23231.085582249612,0
6100,2024,25203,0
6210,2015,9516.624116087969,0
6210,2016,9398.849879182537,0
6210,2017,11609.62062,0
6210,2018,11690.583924723742,0
6210,2019,12726.19118191923,0
6210,2020,13569.135551978437,0
6210,2021,15947.564019669102,0
