"year","lower","central","upper"
175.9,0.126910244764481,0.195242947150142,0.263575649535803
175.95,0.126910245617262,0.195242948462089,0.263575651306916
176,0.126910246472286,0.195242949777486,0.263575653082686
176.05,0.126910247329555,0.195242951096337,0.263575654863119
176.1,0.126910248189072,0.195242952418647,0.263575656648221
176.15,0.126910249050841,0.195242953744421,0.263575658438001
176.2,0.126910249914866,0.195242955073666,0.263575660232465
176.25,0.12691025078115,0.195242956406386,0.263575662031622
176.3,0.126910251649696,0.195242957742585,0.263575663835475
176.35,0.126910252520507,0.19524295908227,0.263575665644034
176.4,0.126910253393588,0.195242960425447,0.263575667457306
176.45,0.12691025426894,0.195242961772118,0.263575669275296
176.5,0.126910255146568,0.195242963122289,0.263575671098011
176.55,0.126910256026473,0.195242964475966,0.263575672925458
176.6,0.126910256908661,0.195242965833153,0.263575674757645
176.65,0.126910257793134,0.195242967193856,0.263575676594578
176.7,0.126910258679896,0.195242968558079,0.263575678436263
176.75,0.126910259568949,0.195242969925828,0.263575680282707
176.8,0.126910260460295,0.195242971297105,0.263575682133915
176.85,0.126910261353939,0.195242972671917,0.263575683989894
176.9,0.126910262249883,0.195242974050267,0.26357568585065
176.95,0.126910263148131,0.195242975432161,0.263575687716191
177,0.126910264048685,0.195242976817604,0.263575689586522
177.05,0.126910264951549,0.195242978206599,0.26357569146165
177.1,0.126910265856725,0.195242979599152,0.263575693341579
177.15,0.126910266764216,0.195242980995266,0.263575695226316
177.2,0.126910267674024,0.195242982394946,0.263575697115867
177.25,0.126910268586154,0.195242983798196,0.263575699010239
177.3,0.126910269500607,0.195242985205021,0.263575700909436
177.35,0.126910270417386,0.195242986615424,0.263575702813463
177.4,0.126910271336494,0.195242988029411,0.263575704722328
177.45,0.126910272257934,0.195242989446985,0.263575706636036
177.5,0.126910273181708,0.19524299086815,0.263575708554592
177.55,0.126910274107819,0.19524299229291,0.263575710478001
177.6,0.126910275036269,0.195242993721269,0.263575712406268
177.65,0.126910275967062,0.195242995153231,0.263575714339401
177.7,0.126910276900198,0.1952429965888,0.263575716277401
177.75,0.126910277835683,0.19524299802798,0.263575718220277
177.8,0.126910278773516,0.195242999470774,0.263575720168031
177.85,0.126910279713701,0.195243000917185,0.26357572212067
177.9,0.126910280656239,0.195243002367218,0.263575724078197
177.95,0.126910281601135,0.195243003820877,0.263575726040618
178,0.126910282548389,0.195243005278164,0.263575728007939
178.05,0.126910283498004,0.195243006739083,0.263575729980162
178.1,0.126910284449982,0.195243008203638,0.263575731957294
178.15,0.126910285404325,0.195243009671831,0.263575733939337
178.2,0.126910286361035,0.195243011143666,0.263575735926297
178.25,0.126910287320115,0.195243012619147,0.263575737918179
178.3,0.126910288281566,0.195243014098275,0.263575739914984
178.35,0.126910289245391,0.195243015581055,0.263575741916719
178.4,0.126910290211591,0.195243017067489,0.263575743923387
178.45,0.126910291180167,0.195243018557579,0.263575745934991
178.5,0.126910292151123,0.195243020051331,0.263575747951538
178.55,0.12691029312446,0.195243021548743,0.263575749973027
178.6,0.126910294100179,0.195243023049822,0.263575751999465
178.65,0.126910295078282,0.195243024554569,0.263575754030856
178.7,0.126910296058771,0.195243026062986,0.2635757560672
178.75,0.126910297041647,0.195243027575075,0.263575758108503
178.8,0.126910298026913,0.195243029090841,0.263575760154769
178.85,0.126910299014569,0.195243030610284,0.263575762205999
178.9,0.126910300004616,0.195243032133406,0.263575764262195
178.95,0.126910300997058,0.195243033660211,0.263575766323364
179,0.126910301991894,0.195243035190699,0.263575768389505
179.05,0.126910302989125,0.195243036724874,0.263575770460622
179.1,0.126910303988755,0.195243038262737,0.263575772536719
179.15,0.126910304990782,0.195243039804289,0.263575774617796
179.2,0.126910305995209,0.195243041349532,0.263575776703856
179.25,0.126910307002036,0.195243042898469,0.263575778794903
179.3,0.126910308011265,0.195243044451101,0.263575780890936
179.35,0.126910309022897,0.195243046007429,0.263575782991961
179.4,0.126910310036932,0.195243047567454,0.263575785097976
179.45,0.126910311053372,0.195243049131179,0.263575787208986
179.5,0.126910312072217,0.195243050698604,0.263575789324991
179.55,0.126910313093467,0.19524305226973,0.263575791445992
179.6,0.126910314117125,0.195243053844558,0.263575793571992
179.65,0.126910315143189,0.19524305542309,0.263575795702991
179.7,0.126910316171661,0.195243057005326,0.263575797838991
179.75,0.126910317202542,0.195243058591267,0.263575799979992
179.8,0.126910318235831,0.195243060180913,0.263575802125996
179.85,0.126910319271529,0.195243061774266,0.263575804277003
179.9,0.126910320309637,0.195243063371326,0.263575806433014
179.95,0.126910321350154,0.195243064972092,0.263575808594029
180,0.126910322393081,0.195243066576566,0.26357581076005
180.05,0.126910323438418,0.195243068184747,0.263575812931076
180.1,0.126910324486165,0.195243069796636,0.263575815107106
180.15,0.126910325536322,0.195243071412232,0.263575817288142
180.2,0.126910326588889,0.195243073031536,0.263575819474183
180.25,0.126910327643866,0.195243074654547,0.263575821665229
180.3,0.126910328701251,0.195243076281264,0.263575823861277
180.35,0.126910329761046,0.195243077911689,0.263575826062331
180.4,0.126910330823251,0.195243079545819,0.263575828268387
180.45,0.126910331887862,0.195243081183653,0.263575830479444
180.5,0.126910332954883,0.195243082825193,0.263575832695503
180.55,0.12691033402431,0.195243084470436,0.263575834916561
180.6,0.126910335096144,0.195243086119381,0.263575837142618
180.65,0.126910336170385,0.195243087772028,0.263575839373671
180.7,0.12691033724703,0.195243089428374,0.263575841609719
180.75,0.126910338326079,0.19524309108842,0.263575843850761
180.8,0.126910339407531,0.195243092752162,0.263575846096793
180.85,0.126910340491386,0.195243094419601,0.263575848347816
180.9,0.126910341577642,0.195243096090733,0.263575850603825
180.95,0.126910342666298,0.195243097765557,0.263575852864816
181,0.126910343757352,0.195243099444071,0.26357585513079
181.05,0.126910344850804,0.195243101126274,0.263575857401744
181.1,0.126910345946651,0.195243102812161,0.263575859677672
181.15,0.126910347044893,0.195243104501733,0.263575861958574
181.2,0.126910348145527,0.195243106194986,0.263575864244444
181.25,0.126910349248552,0.195243107891916,0.263575866535281
181.3,0.126910350353967,0.195243109592523,0.263575868831079
181.35,0.126910351461769,0.195243111296802,0.263575871131836
181.4,0.126910352571955,0.19524311300475,0.263575873437546
181.45,0.126910353684526,0.195243114716366,0.263575875748207
181.5,0.126910354799477,0.195243116431645,0.263575878063812
181.55,0.126910355916808,0.195243118150584,0.263575880384359
181.6,0.126910357036515,0.195243119873178,0.263575882709841
181.65,0.126910358158597,0.195243121599426,0.263575885040255
181.7,0.12691035928305,0.195243123329321,0.263575887375593
181.75,0.126910360409872,0.195243125062862,0.263575889715853
181.8,0.126910361539061,0.195243126800044,0.263575892061028
181.85,0.126910362670613,0.195243128540862,0.263575894411111
181.9,0.126910363804526,0.195243130285311,0.263575896766096
181.95,0.126910364940796,0.195243132033387,0.263575899125979
182,0.126910366079422,0.195243133785087,0.263575901490752
182.05,0.126910367220399,0.195243135540404,0.263575903860409
182.1,0.126910368363724,0.195243137299333,0.263575906234943
182.15,0.126910369509394,0.19524313906187,0.263575908614346
182.2,0.126910370657405,0.195243140828009,0.263575910998613
182.25,0.126910371807754,0.195243142597743,0.263575913387733
182.3,0.126910372960437,0.19524314437107,0.263575915781703
182.35,0.12691037411545,0.195243146147981,0.263575918180511
182.4,0.12691037527279,0.19524314792847,0.263575920584151
182.45,0.126910376432452,0.195243149712533,0.263575922992614
182.5,0.126910377594432,0.195243151500161,0.263575925405891
