year,go_line,go_label,num_m_2024,den_m_2024,phi_aggregated,s,contribution
2024,45,Transit and ground passenger transportation,0,591,0,0.006082326438664755,0
2024,46,Pipeline transportation,1100,9337,0.11781086001927814,0.002498464058980135,2.9434619951570617e-4
2024,47,Other transportation and support activities,849.2679304711303,6721,0.12636035269619555,0.012113454843334015,0.0015306604263731244
2024,48,Warehousing and storage,0,7191,0,0.006437299474366851,0
2024,81,"Arts, entertainment, recreation, accommodation, and food services",915,15946,0.0573811614197918,0.07909072291624002,0.0045383175384647945
2020,90,Federal government,31031.412829419685,35675.077677535286,0.8698344852928034,0.06186112007784686,0.05380893554255023
2021,90,Federal government,6947.141495006084,30616.785749861898,0.22690629747237331,0.05954327814681189,0.013510744783660763
2022,90,Federal government,12484.636325534777,29799.51391269124,0.41895436154137156,0.05584810359782917,0.023397806586124895
2023,90,Federal government,3665.6752690850767,34116.41733566372,0.10744607890738721,0.055070744116642395,0.005917135517845289
2024,90,Federal government,12839.267930471131,36300,0.35369884105981075,0.05571028739163083,0.01970466408552881
2020,95,State and local government,7205.9612084594655,442345.75113240746,0.01629033666540747,0.13778987897245887,0.0022446435175471047
2021,95,State and local government,71984.07212685845,418388.7455060809,0.1720506894605563,0.13367417473109217,0.02299873392555528
2022,95,State and local government,35318.78791739984,382671.926899947,0.09229521539120963,0.13271360911317004,0.01224883113844483
2023,95,State and local government,30620.996904345768,420968.6583523418,0.07273937452777457,0.12955432105424014,0.009423700280855924
2024,95,State and local government,61700,463900,0.13300280232808795,0.12954126561540039,0.017229351343975435
